age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.858059579059378e-07,2.570375696899102e-14,1.4606469128081209e-06
31,0.002781126812638453,6.640649679815151e-05,0.005192378499479065
32,0.005561967819319072,0.0001325244726832756,0.010384708453831899
33,0.008342808825999457,0.0001987319766501236,0.015577038408184732
34,0.011123649832680044,0.00026490836428608617,0.020769007238088562
35,0.013904490839360753,0.0003311022194013323,0.025960970271706952
36,0.01595785524793037,0.0034278847608877256,0.027713819075398667
37,0.018011219656499596,0.005707253961522999,0.02957827590855733
38,0.0200645840650695,0.007506830254246867,0.031640652826742575
39,0.022117948473639192,0.009267790045885502,0.03393126377638426
40,0.024171312882208626,0.010848746947199143,0.036260022008202455
41,0.026099773299407564,0.013319559278304378,0.03860477915983545
42,0.028028233716607554,0.015680668474591385,0.04106781807603138
43,0.029956694133807527,0.01781258816694249,0.043766329990249306
44,0.03188515455100647,0.019781502808426932,0.04678192643269316
45,0.033813614968206465,0.02127215213353748,0.05007982154763852
46,0.03639549978546907,0.0234365526980493,0.052929901839453355
47,0.0389773846027318,0.02534132740286456,0.05644051073580189
48,0.041559269419994035,0.027145009121293157,0.060237854098110714
49,0.04414115423725659,0.028881204062335436,0.06424866606716977
50,0.04672303905451983,0.030425364731567903,0.06831603405972614
51,0.050453795366671716,0.03368105411750043,0.07268694344242241
52,0.054184551678823877,0.03657702493000595,0.07727376229676725
53,0.057915307990977126,0.03931625858645873,0.08231122084947981
54,0.06164606430312773,0.04186002419177295,0.0878325723150237
55,0.0653768206152796,0.044098227413922095,0.09386096234303062
56,0.07068954876208408,0.049056895041460574,0.09942633115929314
57,0.07600227690888627,0.0531995661517164,0.10613067540534916
58,0.08131500505568512,0.05716379459632787,0.11318879756862797
59,0.08662773320249033,0.06066815974445458,0.12081244293975317
60,0.0919404613492931,0.06390577434997805,0.12890440813283788
61,0.09974660921545357,0.07099731038338172,0.13744484085816028
62,0.10755275708162063,0.07735115156686796,0.14686661254203848
63,0.11535890494778824,0.08306391635062749,0.15709811911596228
64,0.12316505281394784,0.08852105784078466,0.16797471101059674
65,0.1309712006801074,0.09322550710860196,0.1799096817470222
66,0.14123849590085033,0.10274180758638916,0.19095241660661197
67,0.15150579112158685,0.11167227283296732,0.20331312410007366
68,0.1617730863423196,0.11889645175218498,0.21645400321404884
69,0.17204038156306373,0.1252727169610459,0.23120468822415885
70,0.18230767678378978,0.13106890290940806,0.24695713860566462
71,0.19396552302678813,0.14253695759341814,0.2576842651740654
72,0.205623369269786,0.15222649567287258,0.2723671667521232
73,0.21728121551278945,0.1604656387642897,0.28776931477946005
74,0.22893906175579395,0.16800041345532077,0.30541633400772245
75,0.24059690799877775,0.17448554102136205,0.32450740179717735
76,0.25316732896588967,0.1859325773590085,0.33811023283049213
77,0.26573774993300175,0.1957866185678072,0.3544154199431557
78,0.27830817090011006,0.20395842975694348,0.37229702380065816
79,0.29087859186721743,0.21078084879340414,0.3929163467945267
80,0.3034490128343165,0.2174326549638415,0.414710681836138
81,0.31681111423371733,0.22884577136945922,0.42911017594524853
82,0.33017321563311985,0.23901732016599642,0.4466140159725863
83,0.34353531703252727,0.24693747044330497,0.46778918312589535
84,0.3568974184319317,0.2543189971629288,0.4911794171371824
85,0.370259519831338,0.2604162765814689,0.5162396580572902
86,0.38412523375332513,0.2711353890966781,0.5338632378652324
87,0.39799094767529564,0.2796612672695109,0.5541117879064166
88,0.41185666159728007,0.2868138749939128,0.576239564488118
89,0.4257223755192793,0.2934777776679878,0.601882476391659
90,0.43958808944123146,0.30021799710988123,0.6303626142916893
91,0.4543882060643372,0.3096347865986307,0.6504891274875273
92,0.4691883226874633,0.31809327968991313,0.6732741150256042
93,0.4839884393105398,0.324808565701316,0.6987485967329709
94,0.4987885559336447,0.3310353758197153,0.7282238575837066
95,0.5135886725567274,0.33647238973966564,0.7598700967656766
96,0.5284531482556695,0.3462080037805877,0.7790854263963416
97,0.5433175674935299,0.3543539896532281,0.8021091872789035
98,0.558181888628237,0.36087627969491815,0.8304918122871285
99,0.5730454316102341,0.3667139481552971,0.8598945040716713
100,0.5878930714436728,0.37160369107481117,0.890882902832284
