age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.83796272029267e-07,1.7286036774157256e-14,1.4836063517867436e-06
41,0.00021610315697097521,2.7484327197259185e-05,0.0004232249788718623
42,0.0004319225176699179,5.452810501345271e-05,0.000846136021912423
43,0.0006477418783688747,8.171433097143432e-05,0.0012690562992283675
44,0.0008635612390678346,0.00010882564710508125,0.0016920428743135
45,0.0010793805997667625,0.0001360317399885446,0.002115050334666463
46,0.001239906369912704,0.0003053184253837729,0.0022272771448905776
47,0.0014004321400586603,0.0003750700774257956,0.002348084868141466
48,0.001560957910204588,0.000431134593510988,0.0024836928829839876
49,0.0017214836803504958,0.00048005178496476696,0.002636694252603899
50,0.001882009450496461,0.0005247731130249504,0.0028022965553354197
51,0.0020288478968044053,0.0008368800922015396,0.0029481257933172324
52,0.002175686343112361,0.0011376806105599093,0.003115088303964852
53,0.0023225247894202213,0.0014117533814391246,0.0032935301280605893
54,0.002469363235728208,0.0016233890972682827,0.0035024863848019004
55,0.002616201682036272,0.001753356866291838,0.0037398145758999507
56,0.0028229371948704516,0.001939211670304006,0.003967749095739101
57,0.0030296727077046533,0.0021042950454186254,0.004231631487566157
58,0.0032364082205388156,0.0022494118358909235,0.004523717995886392
59,0.00344314373337318,0.0024003288871941916,0.004835903473363376
60,0.0036498792462074585,0.0025272289435891654,0.005179018639549096
61,0.0040131172583082715,0.002850542688706486,0.005561650808514686
62,0.004376355270409328,0.0031482656094714246,0.006012843923738511
63,0.004739593282510306,0.0034189110651603742,0.006531354397421835
64,0.005102831294611223,0.0036636504026794957,0.007078756163572129
65,0.005466069306712102,0.003897277916626843,0.007648066885572895
66,0.006112279534061075,0.004486411461516042,0.008332813156129132
67,0.006758489761409625,0.005011818571559486,0.009121914871044228
68,0.007404699988758659,0.005489601621141605,0.009942012202293817
69,0.008050910216107397,0.005932300061302858,0.010829915825863344
70,0.008697120443456139,0.006347452591242732,0.011761774750419896
71,0.009857854227333923,0.00742405920736338,0.01296682256894873
72,0.01101858801121201,0.008373963705822206,0.014323471601406358
73,0.012179321795089394,0.009243121264395674,0.01585997143284011
74,0.013340055578967256,0.010053769461097123,0.01746242853928877
75,0.014500789362845094,0.010807616733422903,0.019162722268304504
76,0.016392063687065243,0.012557654353452503,0.021121841033622954
77,0.018283338011285663,0.014076272075141016,0.023361784146743524
78,0.020174612335505944,0.015469748583417152,0.025844406347212884
79,0.022065886659726225,0.016727687934028884,0.028459888410251134
80,0.023957160983945555,0.01791898400017854,0.03124501462682969
81,0.026658733627641238,0.020363004594718542,0.03412329271026366
82,0.029360306271335734,0.022453426277132378,0.03746349065471649
83,0.032061878915029624,0.024280274872443372,0.04116456080348889
84,0.0347634515587245,0.025915846798494714,0.04514211558666353
85,0.03746502420241805,0.027465328467827815,0.049390653828293926
86,0.040414454436984514,0.02997708481761966,0.05283833626191791
87,0.04336388467155076,0.03208222930820902,0.05707363097737874
88,0.04631331490611581,0.03390196087814155,0.06162850511917144
89,0.049262745140682844,0.03544710981776646,0.06677693817544615
90,0.05221217537524792,0.03684896749232261,0.072115587875017
91,0.05461180142356197,0.03857416615272683,0.07546870560901098
92,0.057011427471878054,0.03995862966806696,0.07930009960407891
93,0.05941105352019373,0.04110875431355855,0.08382157302457327
94,0.06181067956851049,0.042166332605146795,0.08868264374516556
95,0.06421030561682521,0.04307176417202608,0.09350966402772878
96,0.06621969377026717,0.04430700289138581,0.09718669720391013
97,0.06822908192370916,0.045335260474309476,0.10079337467270241
98,0.0702384700771498,0.046202584897174645,0.10464194469484318
99,0.07224785823059314,0.04691842032348003,0.10888143861687251
100,0.0742572463840328,0.0477959183300486,0.1135672632458974
