age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.7926541560181747e-07,1.3833914204395287e-14,1.4540134271789942e-06
41,0.00032535980484674025,3.958870417142491e-05,0.0005424130558423153
42,0.0006504403442778747,7.890797223997968e-05,0.0010848260902046704
43,0.0009755208837090085,0.0001182632245723138,0.00162708081892026
44,0.0013006014231401507,0.00015757093589668212,0.002169427810774115
45,0.0016256819625712637,0.00019678448896654898,0.0027117847500006957
46,0.0018204557876909501,0.0005873419507630657,0.002865327151451002
47,0.002015229612810565,0.0009383897741922029,0.003047823449773802
48,0.0022100034379303034,0.0012455123233010988,0.0032466909656626124
49,0.0024047772630499276,0.0015107838867113106,0.0034550372785606288
50,0.0025995510881695653,0.0017068492814491627,0.003680709585641682
51,0.0027966900664425946,0.0018856451503213288,0.003893335939404674
52,0.0029938290447156755,0.002049967947383818,0.0041340973010604316
53,0.003190968022988761,0.002198088664018258,0.004411703355571398
54,0.0033881070012618947,0.0023348305397417413,0.004716488623066709
55,0.003585245979535044,0.002462703981346618,0.005032602991324938
56,0.003892796008391125,0.002727010713519749,0.005366470801405171
57,0.004200346037247479,0.0029745914893816276,0.0057501832109803615
58,0.004507896066103718,0.0031902862417016375,0.006174485510533396
59,0.0048154460949601475,0.003390699574765834,0.006628815640534664
60,0.0051229961238164765,0.0035813218180891925,0.007124690130791489
61,0.005651046828556834,0.0040607680176343594,0.007690050529058187
62,0.006179097533297045,0.004496945606566346,0.008333948548755745
63,0.006707148238037557,0.0048936960745999715,0.009031494522279528
64,0.007235198942777768,0.0052494501667878736,0.00978652458590567
65,0.007763249647518062,0.00559717864919236,0.010598057918263857
66,0.008659428290448972,0.006401765105211532,0.011548308398203809
67,0.009555606933379349,0.007156971572446127,0.01264263553585423
68,0.010451785576310352,0.007828177427461891,0.01381360086555981
69,0.01134796421924076,0.00844731148138799,0.015030044167616018
70,0.012244142862171679,0.00903128864850465,0.016359449244297466
71,0.013677409354384185,0.010341153510079814,0.017832169573558692
72,0.015110675846596791,0.011493191733745724,0.019553720096240474
73,0.016543942338809563,0.01253569812838088,0.021470516691595238
74,0.017977208831021947,0.013510424597939994,0.023511515131826817
75,0.01941047532323547,0.014411820335382516,0.02564591602215227
76,0.021521039762649963,0.0163458273761904,0.027826725423656017
77,0.023631604202064675,0.0180875930610501,0.030423647190860284
78,0.025742168641479553,0.019583734061591532,0.033320553433791006
79,0.027852733080894178,0.020983690138222336,0.036297424655675994
80,0.02996329752030967,0.022302546797058273,0.039520283556853775
81,0.03260620570161588,0.024798498104878674,0.04222486977467627
82,0.03524911388292283,0.0269333386821328,0.045597488436958274
83,0.03789202206422729,0.028769403206430667,0.049255364032205734
84,0.04053493024553547,0.0303358715924247,0.053218242506613396
85,0.04317783842684217,0.031811343916687204,0.05753644371107693
86,0.045940672528323186,0.03416805276511952,0.0606703521006522
87,0.04870350662980428,0.03613542966077249,0.06452519347375535
88,0.051466340731285934,0.037868594324632875,0.06875911105783268
89,0.05422917483276801,0.03930149534520214,0.07347448871427734
90,0.05699200893424708,0.04052764553251659,0.0785442696158528
91,0.05952810828389181,0.042265137097385136,0.08212503652009466
92,0.062064207633534645,0.04384160758419374,0.0860633614892648
93,0.0646003069831753,0.04521386583057361,0.09077109806042108
94,0.06713640633281777,0.04624311516906157,0.09590958643277607
95,0.06967250568246446,0.047111076273470186,0.10144822421944967
96,0.07187271599900384,0.0485675663903284,0.10483475324535392
97,0.07407292631554473,0.04972909729100186,0.10836390718201235
98,0.07627313663208421,0.05077026560301045,0.11294692110068645
99,0.07847334694862361,0.05153603371553978,0.1174684006784326
100,0.08067355726516523,0.05230335538847965,0.1223647504324295
