age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.9113302223209607e-07,3.5174247075282917e-14,1.4322210071951938e-06
31,0.006286999028406515,0.0008996698434281823,0.00891176241373368
32,0.01257370692379061,0.0017990340619798337,0.017822998564591155
33,0.018860414819175338,0.002698398280531485,0.026734234715448627
34,0.025147122714559503,0.003597762499083137,0.0356454708663061
35,0.03143383060994289,0.004497126717634788,0.04455670701716358
36,0.034764588859112704,0.011087781621583243,0.04870445231622553
37,0.03809534710827966,0.018001114681605927,0.05316755697282233
38,0.041426105357448804,0.02384713693437058,0.05798278054827007
39,0.04475686360661757,0.028198267495682765,0.0630133684314057
40,0.04808762185578628,0.03139258465454167,0.06826647861031222
41,0.05257957331833195,0.03476640094881624,0.0737180544850577
42,0.057071524780878305,0.037729372216942704,0.07991326166791875
43,0.06156347624342773,0.04066765447836012,0.0862876869259645
44,0.06605542770597451,0.04343449096307275,0.09313496377059385
45,0.07054737916851854,0.046012063751307335,0.10031558509673816
46,0.07599680756278947,0.0503514583933219,0.10657784326406128
47,0.08144623595705687,0.05431892679094362,0.11343076179886821
48,0.08689566435132644,0.057926971421752974,0.1219821773468164
49,0.0923450927455915,0.0613733589374124,0.13066586652801976
50,0.09779452113986566,0.0645300379858538,0.13969412193606853
51,0.10433277608206208,0.06972428661541205,0.14665279507934198
52,0.11087103102425729,0.07483875866214401,0.15466816983923684
53,0.1174092859664573,0.0792629525170866,0.1638057629933419
54,0.12394754090865581,0.08356465739079136,0.17376422050859067
55,0.13048579585085554,0.08731265354967244,0.1844844851048973
56,0.1386093738979884,0.09400863044881487,0.19383047747655058
57,0.14673295194512517,0.10002783381147652,0.20501946207381494
58,0.15485652999226335,0.10530704334318688,0.2170751095264923
59,0.1629801080394008,0.11002323299636355,0.23002837921433644
60,0.17110368608653156,0.11425466309418741,0.24311468434760142
61,0.18103863330997577,0.12327888798379162,0.25400577507629457
62,0.1909735805334209,0.1308177357609302,0.26652452796450365
63,0.20090852775685297,0.13743564576750747,0.2805579345051915
64,0.2108434749802906,0.14370422059401847,0.2953702707656574
65,0.2207784222037289,0.14936692992778067,0.3116159625577061
66,0.23309882880308042,0.15971329132493614,0.32551720560324204
67,0.2454192354024212,0.16908177755523257,0.340685003383359
68,0.2577396420017634,0.17736397032523568,0.3581649880226576
69,0.2700600486011095,0.18437543608369228,0.37735578095049516
70,0.2823804552004635,0.19080320932464345,0.3969262568267416
71,0.2969861971247289,0.20402343174497672,0.41201086129879205
72,0.3115919390490016,0.2152110358976656,0.429918829483896
73,0.3261976809732764,0.22511974418695363,0.45005152473588744
74,0.3408034228975415,0.23448642453210894,0.4731586469438036
75,0.35540916482181234,0.2417690290792161,0.4979266707241001
76,0.3725610064894697,0.256773451211761,0.5165506197929896
77,0.38971284815714086,0.26955634601923034,0.5373885453024678
78,0.4068646898248044,0.28077010111214507,0.5602881939611477
79,0.4240165314924722,0.2910661007223231,0.5850109154602432
80,0.44116837316012936,0.2991533199901881,0.6135890718620426
81,0.4602513976285698,0.3174614772036653,0.6306574799756993
82,0.479334422097035,0.33344533002073196,0.6524679492452561
83,0.49841744656545917,0.346905795739642,0.6778613602836928
84,0.5175004710339106,0.35851612662632126,0.7062020321854922
85,0.5365834955023435,0.3680201113293865,0.735233631199664
86,0.5566636201997821,0.3876809293945144,0.7508564507264683
87,0.5767437448972168,0.40334143030692127,0.7699192904246561
88,0.5968238695946257,0.4177578135914021,0.7910309680054417
89,0.6169039942920828,0.4301300652279761,0.8182744932933715
90,0.6369840435976536,0.4404474001281331,0.8500998480046689
91,0.6564848877504125,0.457679650598652,0.8632315955380621
92,0.6759857319031488,0.47274354190225953,0.8774974618505698
93,0.6954865593028372,0.4851246436450009,0.8959443501878626
94,0.7149873673747082,0.4955514944347522,0.9191300468902743
95,0.7344838196638208,0.505224068182825,0.9472587895134116
96,0.7520378387316868,0.5196092171118395,0.9548759459086086
97,0.7695907297140344,0.5316199519225077,0.9633891557694311
98,0.7871419816375018,0.5427631112287783,0.9743679114803998
99,0.8046758837965239,0.5523279809491249,0.987395522217288
100,0.821848359745344,0.559681045211306,1.0
