age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.813911061609694e-07,2.2742170646655395e-14,1.4409247968185705e-06
41,0.0007850916616658554,0.00049234012270907,0.0012060771689599704
42,0.0015699019322255522,0.0009846799857530634,0.0024119624647509024
43,0.002354712202785284,0.0014767788216607691,0.003617597038383494
44,0.0031395224733449527,0.001968414380518174,0.004823231612016087
45,0.003924332743904805,0.0024600499393755792,0.006028866185648679
46,0.0042897892326401,0.0027292534183838988,0.0065291680283551925
47,0.0046552457213750635,0.002971590763664854,0.007085906138753102
48,0.005020702210110286,0.0031943508383520734,0.007676007107609048
49,0.0053861586988456734,0.0033905025525071204,0.008272484144776384
50,0.005751615187580811,0.0035741392675413372,0.00890704678059256
51,0.006272869753354414,0.003962199383577681,0.009601368076980539
52,0.006794124319128528,0.0043037236390734614,0.010382718475201431
53,0.007315378884902152,0.004620418017815096,0.011188191395762211
54,0.007836633450676039,0.004916307344199505,0.012054461642609997
55,0.008357888016449877,0.005187717454700439,0.01297378219262001
56,0.00913330615304802,0.005780946350220779,0.014001803428289597
57,0.009908724289646158,0.006312133237838146,0.01514216365086644
58,0.01068414242624447,0.00678114471410691,0.016375394304096368
59,0.011459560562842579,0.007212257741522366,0.01770642554819656
60,0.012234978699439953,0.00761263321614375,0.01906071626456183
61,0.013347363851179735,0.008430005888602245,0.02053688337066551
62,0.014459749002919155,0.009171785514705934,0.022142811127168018
63,0.015572134154658213,0.009862990150227959,0.023961758114108455
64,0.016684519306397635,0.010480186403145296,0.02591412229019482
65,0.017796904458136243,0.01109735977224653,0.027893627776581286
66,0.019352148271700516,0.01225538721091136,0.02993030786490326
67,0.020907392085265212,0.01333948263755063,0.032189069052329045
68,0.02246263589882939,0.014288055475765877,0.03464532028028531
69,0.024017879712394694,0.015171722147926562,0.03715662597113925
70,0.025573123525958343,0.01595797859205682,0.039874513415456635
71,0.027751346863372543,0.01758230976140282,0.042691446052085504
72,0.029929570200786754,0.019035917496952263,0.04579816790174824
73,0.03210779353820094,0.020342953253398088,0.04930553087927037
74,0.034286016875615215,0.0216025129339741,0.05282764319700106
75,0.036464240213029894,0.022697380862088088,0.05643567917021606
76,0.039388868100544344,0.024942175732234024,0.06035272052605146
77,0.04231349598805833,0.026953204334194916,0.06439834382786469
78,0.04523812387557253,0.028807740100363802,0.06869582442901884
79,0.04816275176308846,0.030470523714891663,0.07377446817892801
80,0.05108737965060238,0.031973293758401036,0.07905419429051876
81,0.05473289656112215,0.034897314817646276,0.08358528677006584
82,0.05837841347164016,0.037370968129470786,0.08879737106898558
83,0.06202393038216,0.03957006773525091,0.09470907291971947
84,0.06566944729268082,0.04152553471008402,0.1006798985511578
85,0.06931496420320224,0.043338135416484944,0.10653499252375902
86,0.07322582667538181,0.04630029711917956,0.1121839934147105
87,0.07713668914756197,0.048747419192241265,0.11819838990142086
88,0.08104755161974249,0.05096409488702087,0.12483777271348749
89,0.0849584140919248,0.05293221497646468,0.13201567249585103
90,0.08886927656410464,0.05478475454454514,0.13997992802743828
91,0.09282224571464222,0.05753425394568523,0.14575293805813092
92,0.09677521486517734,0.0598872273182676,0.15224711097509686
93,0.1007281840157146,0.061556934156302937,0.15936257051223185
94,0.1046811531662549,0.06329012605245309,0.1671445432211406
95,0.10863412231678754,0.06501847963728312,0.17570190414356865
96,0.11227487451269308,0.06728227134110958,0.1816297691120557
97,0.11591562670859747,0.06929664244979987,0.1879069579390168
98,0.11955637890450359,0.07093393613936969,0.19571074453959406
99,0.12319713110040996,0.07228814319325956,0.20370182935792128
100,0.12683788329630835,0.0734717187209414,0.21224328170596815
