age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.780568750350378e-07,1.8052504928969124e-14,1.4393329452071124e-06
41,0.0002781774667126161,0.0001498295610363985,0.00043241947850512693
42,0.0005560768765501834,0.0002993265021260863,0.0008644837965378112
43,0.0008339762863877793,0.0004487553589229086,0.0012967174135595629
44,0.0011118756962253435,0.0005981225738330608,0.0017289557904135654
45,0.0013897751060629102,0.0007476514490160357,0.0021611941672675674
46,0.0015187093948506147,0.0008659769864662835,0.002335647895833809
47,0.0016476436836382617,0.0009860602417549537,0.002523097904694696
48,0.0017765779724259701,0.001090112394044462,0.0027207283161933653
49,0.0019055122612136029,0.001173158697819157,0.0029275148187454915
50,0.0020344465500013458,0.001242589045320132,0.0031522754413013283
51,0.0022186530127646558,0.0013749413571510782,0.0033958177414762465
52,0.002402859475527918,0.0014948593003436734,0.0036780237364325424
53,0.002587065938291421,0.0016000589845153051,0.003970153786173126
54,0.0027712724010547055,0.0016973586073860197,0.004281731871601071
55,0.002955478863818135,0.0017916488933195423,0.004604769439664857
56,0.0032296478597486937,0.001983805516324259,0.004942201061861747
57,0.0035038168556792365,0.002158884105554685,0.005337732393497321
58,0.003777985851609715,0.002319206218247898,0.005752040177685596
59,0.004052154847540135,0.0024637707336220634,0.006197243087408858
60,0.004326323843470578,0.002603655645755002,0.006657923658158329
61,0.00472453609649228,0.0028959633083679892,0.007188122015458945
62,0.005122748349514003,0.0031663288014189966,0.007788286244003661
63,0.00552096060253573,0.0034064506671672382,0.008416888882023472
64,0.005919172855557335,0.0036409814832905774,0.009085913042007206
65,0.006317385108579043,0.003857996241258203,0.009754679832094658
66,0.006892275538819879,0.004267553743257546,0.010488707767805153
67,0.00746716596906073,0.004660801118144285,0.011315875266200903
68,0.008042056399301575,0.005028397519010805,0.01219044629867247
69,0.008616946829542478,0.005353360646202676,0.013139474003436867
70,0.00919183725978338,0.005653953298831645,0.01413969556317165
71,0.010026696815066086,0.006266066149465655,0.015238608898468438
72,0.01086155637034873,0.006803363325828017,0.01644007147365132
73,0.011696415925632067,0.0073044943678660795,0.017723940068980565
74,0.012531275480914705,0.007778285092940001,0.019069330672331356
75,0.013366135036197388,0.00821401080941962,0.020488310045698087
76,0.014509324552751536,0.009042993843375518,0.02198853289654086
77,0.015652514069305724,0.00979860102452057,0.023755059754599767
78,0.016795703585859544,0.01049534160811459,0.025529012187546867
79,0.0179388931024131,0.011120049371064436,0.027456772224838263
80,0.019082082618967267,0.011689479572579474,0.029364500356979385
81,0.020498089911775243,0.012663315509078201,0.031270780639849866
82,0.02191409720458394,0.013462299043357738,0.03339252987363933
83,0.023330104497392527,0.014248913039909532,0.03576898123484749
84,0.024746111790201277,0.014935071143823642,0.03814110214626005
85,0.026162119083009493,0.01564404160348119,0.04072050252936697
86,0.027634283830473425,0.016533672458971096,0.04279507319364841
87,0.029106448577937153,0.017351311423952943,0.04522056118700282
88,0.030578613325401415,0.0180506416668933,0.04773920137009404
89,0.03205077807286597,0.018679137280675804,0.05060946186630602
90,0.03352294282033079,0.019278082748965687,0.05372664477380897
91,0.034950034106631216,0.020152959002620183,0.05586622461109825
92,0.03637712539293322,0.02087537880093125,0.058426179752198534
93,0.0378042166792334,0.021563317588647102,0.06117472520606838
94,0.03923130796553473,0.02214935007786925,0.06403636463125392
95,0.0406583992518376,0.022593245711513388,0.06686317673478868
96,0.04195713887938436,0.02331922985713358,0.06885315736313558
97,0.043255878506931654,0.023943849769935424,0.07119540818062874
98,0.04455461813447763,0.02450891975407401,0.07392643724050721
99,0.04585335776202419,0.025076999850560562,0.0767523628998057
100,0.04715209738957273,0.025565046324603206,0.07977773772795865
