age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.957543923245106e-07,3.526230824044465e-14,1.4259477176469605e-06
31,0.0063998580874688425,0.005012979594706965,0.008151003417419958
32,0.012799420420545137,0.010025887955293236,0.016302005257936028
33,0.019198982753621502,0.015038796315879503,0.0244530070984521
34,0.02559854508669817,0.02005170467646578,0.03260400893896817
35,0.03199810741977378,0.025064613037052045,0.04075501077948424
36,0.03560548009449846,0.028424685703610484,0.04457894577957861
37,0.0392128527692219,0.03140343313666584,0.04876792225547942
38,0.04282022544394431,0.03411760085233283,0.053433152428576144
39,0.046427598118668076,0.03649927725452838,0.05856246384146213
40,0.0500349707933918,0.03871026550722393,0.06394865391908353
41,0.05459932953295844,0.04351826621261962,0.0681615993565208
42,0.05916368827252361,0.047607724572858556,0.07318156793544423
43,0.06372804701209024,0.051166889854905605,0.07901167308071799
44,0.06829240575165563,0.05429373424888109,0.08528888935453732
45,0.07285676449122373,0.05713681741580132,0.09197039493366914
46,0.07733892086571115,0.06218788413802917,0.09544527773516241
47,0.08182107724019777,0.06659669865281778,0.09981209028406272
48,0.08630323361468509,0.07028357295923622,0.10496695107957316
49,0.09078538998917497,0.07350079896664585,0.11101501697919672
50,0.09526754636366234,0.07611376994397115,0.11722518093463634
51,0.10014383242229312,0.08205412034667743,0.12103051564368633
52,0.10502011848092398,0.08685935359209473,0.12614012629182283
53,0.10989640453955885,0.09066311088249583,0.1315336156684614
54,0.11477269059818655,0.09420045101276674,0.13813881210323747
55,0.11964897665681909,0.09714286613672507,0.14489590526708365
56,0.12509167125705742,0.1038871017271201,0.14918334032365463
57,0.13053436585730105,0.10948170460378068,0.15401871697182817
58,0.13597706045754193,0.11365372179704511,0.15997533554473667
59,0.14141975505778592,0.11727393254519763,0.16763839217349835
60,0.14686244965802547,0.11984449462675302,0.17619396111342805
61,0.15337976536346942,0.1284826163200567,0.1803853023324174
62,0.1598970810689147,0.13548320530374078,0.1865015287925413
63,0.16641439677436015,0.14106122794338882,0.19357139610069174
64,0.17293171247980646,0.14587541588434,0.2030513800723128
65,0.17944902818524816,0.14961269142706812,0.21353611851403181
66,0.18648186545384526,0.1587964229054146,0.21781751748670616
67,0.1935147027224326,0.16568589205968393,0.2245024766484504
68,0.20054753999102462,0.17114392434620168,0.232459023145936
69,0.2075803772596159,0.17561100011871544,0.24374800500216423
70,0.21461321452820958,0.17911331506571918,0.2554534983661459
71,0.22266944906408742,0.18970051197015986,0.2611013315498181
72,0.23072568359995857,0.19808666288914906,0.2677177883590502
73,0.23878191813582839,0.20367339666141276,0.27799012677432977
74,0.2468381526717094,0.207923404694095,0.2890936197412017
75,0.25489438720758084,0.21176819001153965,0.3037009594060609
76,0.264129020751531,0.22360044550966554,0.3114241349659928
77,0.27336365429548204,0.23252216118348398,0.3239110896944232
78,0.2825982878394341,0.23919195504327304,0.33609973797124126
79,0.2918329213833863,0.24424087587710736,0.3520271635724709
80,0.3010675549273307,0.2488280161473478,0.3684238681040683
81,0.31244961128453025,0.2616859300393112,0.3767187005713443
82,0.3238316676417191,0.27132966170100115,0.389423701743012
83,0.3352137239989152,0.27832945580223867,0.40439050108600005
84,0.34659578035610317,0.28384213822372084,0.4217540104178405
85,0.35797783671331035,0.28794012210881625,0.441305610019097
86,0.37382456837853817,0.3029912467824001,0.4572537388983919
87,0.3896713000437582,0.3119355586535589,0.4800143059620051
88,0.4055180317089907,0.31914032746737353,0.5051364530001656
89,0.4213647633742187,0.32552861464545285,0.5344634087714963
90,0.4372114950394366,0.33014648241498673,0.5658065100098751
91,0.4566611586926636,0.34246617530906037,0.5910866038873526
92,0.47611082234589724,0.35293268030970815,0.618908290423052
93,0.49556048599912905,0.3600743239153978,0.652224406819671
94,0.5150101496523514,0.3658985937625242,0.6913226099575027
95,0.5344598133055894,0.3725324032647399,0.7319565057683398
96,0.5532429115392234,0.38400575327097175,0.7598737052029905
97,0.572026009772877,0.39481211183561404,0.7894183644209123
98,0.590809108006504,0.4022824384249722,0.8242455916923963
99,0.6095913110632308,0.40924296822288675,0.8581609649885461
100,0.6283568502470858,0.41505456628677595,0.8997511460419222
