age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.958324280184878e-07,3.5417349372498926e-14,1.4606495652860917e-06
41,0.00044826486470338455,0.00019902502765362063,0.0005969013008578823
42,0.0008962338969787462,0.00039703463225030023,0.0011929118304789973
43,0.0013442029292541136,0.0005953310770149257,0.001788571276201119
44,0.0017921719615294613,0.0007937746976417351,0.0023842307219232406
45,0.0022401409938048056,0.0009922183182685443,0.0029798976902342513
46,0.0024119089541062345,0.0013789896232797897,0.0031203901586338845
47,0.002583676914407689,0.0017437835498006942,0.00328671162363953
48,0.0027554448747090622,0.0020466186863118026,0.003476323360338247
49,0.0029272128350104915,0.002253856074068152,0.0036928796926197103
50,0.0030989807953118774,0.002393171733365842,0.003925734997098217
51,0.0033165220794068168,0.002622389344532621,0.004118525800459401
52,0.0035340633635017136,0.0028200833388011054,0.0043566908449254845
53,0.0037516046475965835,0.0029834604545806373,0.0046270514682145315
54,0.003969145931691446,0.003132943977051016,0.0049203692818195486
55,0.004186687215786349,0.0032571371178385764,0.005248152281438691
56,0.00451656139365166,0.00360991788131038,0.005562274516746103
57,0.004846435571516983,0.003909774126875273,0.005926533022536033
58,0.005176309749382328,0.004160867104063484,0.006355375923815773
59,0.005506183927247518,0.0043783318674969745,0.006837991110835385
60,0.005836058105112936,0.004576405082299027,0.007351728754398041
61,0.00638086934231815,0.005158429208691593,0.007843277217112098
62,0.006925680579523261,0.0056649514019071106,0.008439115240904264
63,0.007470491816728585,0.006109252241771166,0.00909606000062426
64,0.008015303053933642,0.006492879688445383,0.009847302596973494
65,0.00856011429113882,0.006844759352459399,0.010648377008436792
66,0.009463603239197347,0.00775174136485292,0.011488497452070309
67,0.010367092187256158,0.008533270624413053,0.012452779657363406
68,0.011270581135314695,0.009236473656775983,0.013619074915802849
69,0.012174070083373364,0.009870115299411992,0.014882027393729319
70,0.01307755903143174,0.01046813733149455,0.01620491826843568
71,0.01470440725138374,0.012076467525114274,0.017755412109997332
72,0.016331255471335654,0.013516645094332277,0.019532974866606306
73,0.017958103691287378,0.014801977527210014,0.021563397334833565
74,0.01958495191123944,0.015945926343443415,0.023720074791527945
75,0.021211800131190825,0.016992981641568296,0.026059287078836594
76,0.023936047366458425,0.019770186451027048,0.028593352771662296
77,0.02666029460172576,0.02218910362062689,0.03169773519888853
78,0.029384541836992576,0.02439850572856691,0.0351763262290081
79,0.0321087890722599,0.026352033787362547,0.038820616837412746
80,0.03483303630752648,0.028085172787523732,0.04261952798146726
81,0.03844385386727872,0.03186847677881858,0.04599697567275488
82,0.042054671427029434,0.03512179191460722,0.050122238770640044
83,0.04566548898678008,0.03795038046866998,0.05490980382033291
84,0.0492763065465317,0.04041564044685281,0.05992849755770789
85,0.05288712410628271,0.04264510007237099,0.06541928950861252
86,0.056630372214670606,0.0466053114774691,0.06924649975383004
87,0.06037362032305768,0.04974513273162329,0.07387604650396029
88,0.06411686843144698,0.0524376024549758,0.0792303252778899
89,0.06786011653983347,0.05448931980386169,0.08534829709125019
90,0.07160336464822278,0.056090904706309355,0.09151996563926088
91,0.07468109653075897,0.05856658727269501,0.0952148819575009
92,0.07775882841329605,0.06061129294554479,0.09984912901543977
93,0.08083656029583462,0.061942480576342024,0.10538574769734879
94,0.08391429217837118,0.06314489845079241,0.11126163782625514
95,0.08699202406090842,0.06450107035938818,0.1172566387267522
96,0.08952291224441274,0.06600595105037727,0.12100119890954265
97,0.09205380042791689,0.0673000690337674,0.1249955507629654
98,0.09458468861141998,0.06859102719164926,0.13032506210831935
99,0.09711557679492688,0.06963147553328317,0.13574893714260644
100,0.09964646497843253,0.07067368763992773,0.14176248000717825
