age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,6.6530976038118935e-06,6.35565790776314e-06,6.9482305707244905e-06
31,7.231726899714108e-06,6.909542751160493e-06,7.552266477793304e-06
32,7.81035619561636e-06,7.446336584140047e-06,8.1745896955466e-06
33,8.388985491518577e-06,7.992226988909952e-06,8.790141302173593e-06
34,8.967614787420712e-06,8.520390590896445e-06,9.41175834741102e-06
35,9.546244083322974e-06,9.056294765048615e-06,1.0039933416924171e-05
36,1.037109847046293e-05,9.824685779492485e-06,1.0898914223302921e-05
37,1.1195952857602737e-05,1.0585017508100216e-05,1.1782428579780333e-05
38,1.2020807244742909e-05,1.135776574307664e-05,1.267822313307306e-05
39,1.2845661631882812e-05,1.211213322482993e-05,1.3579782425050609e-05
40,1.367051601902282e-05,1.2866500706583217e-05,1.4495025074846035e-05
41,1.4823418535933636e-05,1.3971781541683111e-05,1.569092118316636e-05
42,1.5976321052844653e-05,1.5041729441559703e-05,1.6895419355336352e-05
43,1.7129223569755355e-05,1.6117284177895495e-05,1.8137362040119143e-05
44,1.82821260866664e-05,1.7191538224675364e-05,1.9374691366076467e-05
45,1.9435028603577307e-05,1.825936645184668e-05,2.0594767717203865e-05
46,2.0951713974364937e-05,1.96564471838801e-05,2.2192790498801007e-05
47,2.2468399345152753e-05,2.106201477517082e-05,2.377592723560756e-05
48,2.398508471594015e-05,2.2459864872392856e-05,2.5438808570260595e-05
49,2.550177008672815e-05,2.385196883773647e-05,2.7092422982514395e-05
50,2.701845545751625e-05,2.520724105308517e-05,2.8717419900179358e-05
51,2.8941056089358106e-05,2.706157977376012e-05,3.077140165415114e-05
52,3.086365672119963e-05,2.8857027160781143e-05,3.282980363070183e-05
53,3.278625735304136e-05,3.064340371911295e-05,3.492577240461211e-05
54,3.47088579848831e-05,3.246494921007952e-05,3.699778143139671e-05
55,3.663145861672475e-05,3.4239609124078646e-05,3.904523572783915e-05
56,3.890594190297884e-05,3.6429236052242375e-05,4.1469106496640396e-05
57,4.118042518923245e-05,3.853348805550078e-05,4.390175452878514e-05
58,4.3454908475486293e-05,4.0694788586164224e-05,4.631668639396368e-05
59,4.5729391761739736e-05,4.2829377185875936e-05,4.87354006823558e-05
60,4.800387504799402e-05,4.488264569051387e-05,5.117644303813561e-05
61,5.054194014654166e-05,4.739306328747399e-05,5.3821124130770724e-05
62,5.3080005245090014e-05,4.9882639662609625e-05,5.6498555178856474e-05
63,5.561807034363748e-05,5.230590623604719e-05,5.927688424175336e-05
64,5.815613544218573e-05,5.476422353460609e-05,6.199463090700051e-05
65,6.069420054073438e-05,5.71038741025428e-05,6.473001574517286e-05
66,6.3216739263624e-05,5.969354100698993e-05,6.722240066986586e-05
67,6.573927798651386e-05,6.212141674210785e-05,6.977659675217253e-05
68,6.826181670940422e-05,6.443824798851329e-05,7.23992211542827e-05
69,7.078435543229393e-05,6.665597545959571e-05,7.502365861608358e-05
70,7.330689415518328e-05,6.888388665317514e-05,7.771882486809187e-05
71,7.567777641726524e-05,7.129375017550959e-05,8.01580477865893e-05
72,7.804865867934452e-05,7.371210040440399e-05,8.25107904296261e-05
73,8.0419540941426e-05,7.605723833917112e-05,8.494789688668014e-05
74,8.279042320350747e-05,7.817221992014658e-05,8.74743341521886e-05
75,8.516130546558675e-05,8.036455683548574e-05,8.996162841572611e-05
76,8.719474760037225e-05,8.218747366863004e-05,9.172882451754472e-05
77,8.92281897351576e-05,8.402139368183773e-05,9.36166015456098e-05
78,9.126163186994284e-05,8.592970058454575e-05,9.560821097346844e-05
79,9.329507400472728e-05,8.772470589064622e-05,9.762147150976699e-05
80,9.532851613951396e-05,8.95057921767946e-05,9.98861215835586e-05
81,9.69544345590917e-05,9.10959698923382e-05,0.00010151523934066019
82,9.858035297867261e-05,9.257595611999435e-05,0.00010328109101196708
83,0.00010020627139824946,9.409975336649597e-05,0.00010507421142330804
84,0.0001018321898178296,9.542113509309702e-05,0.00010708112923785847
85,0.00010345810823740645,9.675312876967449e-05,0.0001089332144122041
86,0.00010469091680496092,9.786318586802724e-05,0.0001103119433618754
87,0.0001059237253725145,9.90019978079833e-05,0.00011176972498518997
88,0.00010715653394006951,9.996624190582913e-05,0.00011338704127284139
89,0.00010838934250762199,0.00010086688631453265,0.00011508711502391829
90,0.00010962215107517424,0.00010159807760643335,0.00011675967251439646
91,0.00011046989400116112,0.00010255098992752981,0.00011772416802909084
92,0.00011131763692714824,0.0001030553508707278,0.00011846925959540444
93,0.00011216537985313679,0.00010361642017367532,0.00011950745931681708
94,0.00011301312277912307,0.00010418360338788724,0.00012056902105324308
95,0.00011386086570510848,0.00010493857324797738,0.000121583516297225
96,0.00011432283581833252,0.00010507972176736902,0.00012219778554938958
97,0.00011478480593155457,0.00010551821242757222,0.0001229033924242432
98,0.00011524677604477583,0.00010590816808385928,0.00012365714853011458
99,0.00011570874615799871,0.00010640482764130454,0.00012431582714899863
100,0.00011617071627122177,0.00010681813647772152,0.00012530538275562974
