age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,3.1418992176003744e-07,2.679340975328472e-13,1.4789037821013605e-06
31,0.00014590868567997654,2.252191927057416e-05,0.0005414140297291079
32,0.00029150318143819355,4.4569437813630334e-05,0.001082086493836723
33,0.00043709767719641175,6.653331721316671e-05,0.001622732943822239
34,0.0005826921729546325,8.851542338146608e-05,0.0021633837717629995
35,0.0007282866687128452,0.00011042429173752758,0.002704034599703759
36,0.0008962330032646735,0.0001680925757146473,0.0030497297240429182
37,0.0010641793378165065,0.00019281824475306578,0.0035205723754921994
38,0.0012321256723683317,0.000210969797650995,0.0041785238887216605
39,0.0014000720069201466,0.0002263462992827742,0.004810298000622189
40,0.001568018341471983,0.0002412967543377674,0.00551630244425961
41,0.0018668631751543158,0.0003265100029186743,0.005969606732462767
42,0.002165708008836615,0.000376441585287994,0.00672387993800385
43,0.0024645528425190086,0.0004153478228108131,0.007554447421920345
44,0.0027633976762012685,0.00045085112641026967,0.008576885257129985
45,0.003062242509883661,0.00048344887932570457,0.009649396771383866
46,0.0035725906698888367,0.0006852710804645459,0.010292957749572675
47,0.004082938829894122,0.0007861232964593597,0.01124709436537636
48,0.004593286989899391,0.0008626700758146809,0.012484815992964996
49,0.005103635149904618,0.000926759767235602,0.014163595377777278
50,0.005613983309909861,0.0009801707352938003,0.015460006212242198
51,0.006632671310448996,0.00170986115557076,0.016592357144929435
52,0.007651359310988125,0.0020200885176893573,0.017794906460455732
53,0.008670047311527436,0.002255374148713355,0.019448952631319016
54,0.009688735312066512,0.002421593857653349,0.022080002056336673
55,0.010707423312605756,0.0026055939979575267,0.024939140883933158
56,0.012287240922310644,0.004208696865024826,0.02636179822892851
57,0.01386705853201541,0.005091383105757111,0.028143209901782443
58,0.015446876141720113,0.005715943858432503,0.030786426368434715
59,0.017026693751425036,0.006188039037218278,0.0343200810845661
60,0.018606511361129837,0.006559460864504586,0.03841929742188737
61,0.02069902737682871,0.008771353924981691,0.04027133383113268
62,0.022791543392527487,0.010011891425798367,0.0432393805523063
63,0.02488405940822589,0.010821275060798736,0.047118865702907665
64,0.026976575423924634,0.011350319695352608,0.05142860176996811
65,0.02906909143962277,0.011928779068576277,0.05647965329332297
66,0.03188231245962857,0.014104375795485674,0.05992590825092925
67,0.03469553347963385,0.015472925302139348,0.06487759075711812
68,0.0375087544996395,0.016523592519952696,0.07105831592704415
69,0.040321975519645024,0.017274402637485184,0.07860290347981348
70,0.043135196539650575,0.017801759522791664,0.08586082556720985
71,0.04791719763562358,0.022659656575144124,0.09169161409265357
72,0.05269919873159887,0.024889980217663293,0.10019635682800906
73,0.05748119982757441,0.026551175891574425,0.11066044056349766
74,0.062263200923548666,0.02790556118996488,0.12292456104917043
75,0.06704520201952281,0.029070931583438597,0.13678387643377052
76,0.0750035982714393,0.036430183573232064,0.14708974111595285
77,0.08296199452335336,0.039539270352869464,0.16434782710297158
78,0.09092039077526715,0.04204182675882886,0.18532588180339904
79,0.0988787870271833,0.04364013412139483,0.20808276220217878
80,0.10683718327910006,0.04514544424890046,0.23254904096773793
81,0.12017594052502589,0.05552995179660268,0.2511027397186081
82,0.13351469777095584,0.06104417039202069,0.27440667727442636
83,0.14685345501688504,0.0637078409672109,0.3082229054600568
84,0.16019221226281455,0.06605397260858663,0.34772015281449536
85,0.17353096950874167,0.06810397527765256,0.3893084164658356
86,0.19471757362394995,0.07778317363747127,0.416970922694612
87,0.21590417773916118,0.08355133850416874,0.45274455304588723
88,0.23709078185436838,0.08786651249413674,0.5020658217188583
89,0.25827738596957833,0.0925961115491816,0.5577691946651536
90,0.27946399008478207,0.09651946956008176,0.6188376670697755
91,0.3101222130309138,0.1149220099773203,0.6447923625340352
92,0.34078043597704666,0.12521262770512698,0.6765363311112554
93,0.37143865892317507,0.13410072910585938,0.7155877852616983
94,0.40209688186930476,0.13941052069094137,0.776632856467218
95,0.43275509124187517,0.14431799446841895,0.8561656935995462
96,0.47724419892289943,0.17919905268404152,0.8722355914075329
97,0.5217333066039193,0.19791797368879271,0.8893541909618972
98,0.5662220349064845,0.21334280095305722,0.9102119693964829
99,0.6107092254815764,0.22431016923077002,0.9373459510648668
100,0.6550328751106086,0.23479904883441105,0.9940670811209756
