age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.8383990338316663e-07,2.4502304099654657e-14,1.521012366256248e-06
41,0.00047674771193714495,0.00040076493095278384,0.0005431451160063435
42,0.0009532115839709051,0.00080152509501329,0.0010862895302359613
43,0.0014296754560046727,0.0012022853322340473,0.0016294339444655787
44,0.0019061393280384253,0.001603045793597326,0.002172578358695196
45,0.002382603200072188,0.002003806254960604,0.002715722772924814
46,0.002619191989083603,0.0022074078483485175,0.002973041734723421
47,0.0028557807780950043,0.0024062936678152383,0.0032359596810849294
48,0.0030923695671064436,0.002607175931592948,0.0035030577540846267
49,0.003328958356117844,0.0028067611824313474,0.0037674096909543105
50,0.0035655471451292615,0.003000855101511694,0.004027992528745698
51,0.0039150970249972284,0.0033049336696577953,0.0044216497751062445
52,0.004264646904865192,0.003600963043020806,0.004807282949082604
53,0.0046141967847332255,0.003898335176800333,0.005206204868044968
54,0.0049637466646011786,0.004190880453782364,0.0055976900028886474
55,0.005313296544469123,0.004485748093278156,0.005986576705014397
56,0.005823215627099926,0.004932122459259265,0.006561700447324399
57,0.006333134709730604,0.005365373749369431,0.007137870859294254
58,0.006843053792361342,0.005794539531104724,0.00771893695022703
59,0.007352972874992074,0.006225355907782,0.008298982097593674
60,0.007862891957622825,0.006644464949251329,0.008889431968798146
61,0.008597953356412369,0.007261716967141872,0.009716810806090834
62,0.009333014755201844,0.007879573336347426,0.010580285275573982
63,0.010068076153991362,0.008496208554010402,0.011416936751750744
64,0.010803137552780798,0.009113015792402673,0.01225860130150427
65,0.011538198951570246,0.009717326575053111,0.013117268760549122
66,0.012567499813193118,0.010572053703538429,0.01428658831625761
67,0.013596800674815822,0.011428440215135276,0.015495502949427817
68,0.014626101536438767,0.01227776354172462,0.01671252154421729
69,0.01565540239806152,0.013097391291717919,0.017922561996122743
70,0.016684703259684602,0.013952431267095897,0.019123159534261046
71,0.01807594169454846,0.015133083254993416,0.020716506019670164
72,0.019467180129411947,0.016313735242890932,0.022320706104743404
73,0.020858418564276,0.017494387230788448,0.023919168822840876
74,0.022249656999139847,0.018675039218685966,0.02555631182972419
75,0.02364089543400357,0.01983878545689325,0.027166789016349998
76,0.025420251557072192,0.0213222913500321,0.029190980581693615
77,0.02719960768014067,0.022848798859877513,0.03126448285940877
78,0.02897896380320935,0.02438424171981956,0.033329605488144474
79,0.030758319926277634,0.025942739889562704,0.0353418985501469
80,0.032537676049346244,0.02737992635369521,0.03746062562168261
81,0.034641405362583894,0.029127200256687746,0.0396943522361028
82,0.03674513467582192,0.030869616347050474,0.04206666135062691
83,0.03884886398905983,0.03260008315018203,0.0444053485198722
84,0.04095259330229742,0.03438381676705824,0.046744238491281544
85,0.04305632261553559,0.036139130062445735,0.04903714841974166
86,0.04525718320916376,0.03799685731594122,0.05170171865139353
87,0.04745804380279279,0.03983737419917075,0.05422487273013289
88,0.04965890439642116,0.04168472883516545,0.05680501927104112
89,0.051859764990049524,0.0434952650985275,0.05933323914239938
90,0.05406062558367758,0.04534333145341133,0.06186145901375764
91,0.055964908575293466,0.0469762707187814,0.06412802274264869
92,0.05786919156690971,0.04854299991072883,0.06645183591824538
93,0.059773474558524956,0.05008533727340657,0.06867255746473963
94,0.06167775755014032,0.05157721387040542,0.07086751458272578
95,0.06358204054175613,0.053239070572123286,0.0731382759813899
96,0.06469991648255434,0.05417596925695873,0.0743579162719409
97,0.06581779242335199,0.05522427179255133,0.07566229451882611
98,0.06693566836414969,0.05617763162131792,0.07687258932740147
99,0.0680535443049479,0.057053101274546464,0.07831693068185089
100,0.0691714202457467,0.057936691308256495,0.07965302353939235
