age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.3823041805657074e-06,2.2512763468422043e-06,2.5146682088013636e-06
41,2.4253755009404117e-06,2.2956203555792654e-06,2.558972787648262e-06
42,2.4684468213150766e-06,2.3358797905149745e-06,2.6038006184755517e-06
43,2.5115181416898017e-06,2.3748794159286457e-06,2.6512565624491283e-06
44,2.554589462064501e-06,2.415698926640368e-06,2.702910044544822e-06
45,2.597660782439192e-06,2.4545496698811743e-06,2.7556690145623737e-06
46,2.642606590996543e-06,2.5018747877608997e-06,2.7945421419244653e-06
47,2.6875523995538902e-06,2.545258158796997e-06,2.839288352708616e-06
48,2.732498208111203e-06,2.5870786495764188e-06,2.88537816919803e-06
49,2.7774440166685393e-06,2.62768429325225e-06,2.9361817547431346e-06
50,2.822389825225869e-06,2.6655138439200638e-06,2.9940184071305625e-06
51,2.867542947434734e-06,2.7118715116679803e-06,3.036563133111442e-06
52,2.9126960696435342e-06,2.7565264880517776e-06,3.0824884452312494e-06
53,2.9578491918523838e-06,2.7963584560206846e-06,3.129782643460126e-06
54,3.0030023140612337e-06,2.8354480336675374e-06,3.1784111244698738e-06
55,3.0481554362700337e-06,2.8721608587949894e-06,3.2314758540323835e-06
56,3.0904553349402293e-06,2.9139108318950806e-06,3.274327560149869e-06
57,3.1327552336104715e-06,2.953855900474116e-06,3.3168017009829237e-06
58,3.1750551322806713e-06,2.992799345298335e-06,3.36261558689634e-06
59,3.2173550309509178e-06,3.0337003314819214e-06,3.408575355521556e-06
60,3.2596549296210935e-06,3.0691761276030723e-06,3.459866948909424e-06
61,3.2985892729571092e-06,3.1063769998645192e-06,3.4999236759012877e-06
62,3.3375236162931542e-06,3.136624970320953e-06,3.5460591236523156e-06
63,3.3764579596291594e-06,3.1688536545475273e-06,3.590676246337775e-06
64,3.4153923029651383e-06,3.2011748669811683e-06,3.632584718938866e-06
65,3.4543266463011897e-06,3.2303037607521495e-06,3.6799112510479615e-06
66,3.486125053456285e-06,3.2712878567981366e-06,3.7159834912378164e-06
67,3.517923460611424e-06,3.3045334253182306e-06,3.748714031474857e-06
68,3.5497218677665287e-06,3.3345302161319016e-06,3.7835669273050823e-06
69,3.5815202749216383e-06,3.3645345069026315e-06,3.8197368169555884e-06
70,3.6133186820767166e-06,3.3936227893124925e-06,3.863092917134469e-06
71,3.6372748626447847e-06,3.4132422108808785e-06,3.888271299710013e-06
72,3.661231043212811e-06,3.4375864728188204e-06,3.913180733520704e-06
73,3.685187223780795e-06,3.461882989932938e-06,3.940528508363213e-06
74,3.709143404348866e-06,3.4785550908420375e-06,3.967878737349816e-06
75,3.7330995849168192e-06,3.4969194715358965e-06,3.9914538756848044e-06
76,3.7479066995082405e-06,3.511141970319572e-06,4.013822995481712e-06
77,3.7627138140995957e-06,3.5228577484227027e-06,4.035238817020566e-06
78,3.7775209286909777e-06,3.5340979921032297e-06,4.0574433231491625e-06
79,3.7923280432823574e-06,3.5467696954347743e-06,4.077133187548533e-06
80,3.8071351578737665e-06,3.557347473705389e-06,4.1023594524418985e-06
81,3.81535759479416e-06,3.571905964161615e-06,4.1036137455749365e-06
82,3.823580031714566e-06,3.5751897275972995e-06,4.120386256855963e-06
83,3.8318024686349956e-06,3.5778644693851025e-06,4.135987157889079e-06
84,3.8400249055553975e-06,3.581229698081548e-06,4.153172467261258e-06
85,3.8482473424757994e-06,3.5846421568513663e-06,4.17202262501842e-06
86,3.85113880270685e-06,3.588569098690575e-06,4.166243253977764e-06
87,3.854030262937915e-06,3.5899958271578096e-06,4.165812036046274e-06
88,3.8569217231689835e-06,3.587266412128299e-06,4.169053969640919e-06
89,3.859813183400009e-06,3.5847746405966423e-06,4.1670300107835515e-06
90,3.862704643631057e-06,3.5829706600141333e-06,4.172080413765737e-06
91,3.863822409634244e-06,3.586857470803522e-06,4.18161975270965e-06
92,3.864940175637475e-06,3.586987003190028e-06,4.179836492435314e-06
93,3.866057941640693e-06,3.590870927799706e-06,4.174036235041544e-06
94,3.867175707643871e-06,3.5949339141520675e-06,4.169509072282937e-06
95,3.868293473647089e-06,3.604458819934952e-06,4.171626079891877e-06
96,3.868972540485035e-06,3.5990339968922326e-06,4.170629638082885e-06
97,3.86965160732301e-06,3.5964312425799686e-06,4.167704557651162e-06
98,3.8703306741609745e-06,3.592952147172557e-06,4.169944817170581e-06
99,3.871009740998927e-06,3.588444151151393e-06,4.181701730343966e-06
100,3.871688807836928e-06,3.588519013830674e-06,4.192771928670495e-06
