age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.7623465539252897e-07,1.5335975595966866e-14,1.4017245693604175e-06
31,0.004292186978631447,0.003296003743077338,0.00551818506129851
32,0.008584097722607516,0.0065919395962522635,0.011035972102404005
33,0.012876008466583622,0.009887875449427189,0.0165537591435095
34,0.017167919210559587,0.013183811302602115,0.022071546184614994
35,0.021459829954535596,0.01647974715577704,0.027589333225720488
36,0.02406601077632809,0.01889772029634209,0.03030276226812791
37,0.026672191598120197,0.020945241864701068,0.03373221042435381
38,0.029278372419912668,0.02289243475897508,0.03746277361261423
39,0.03188455324170497,0.024521338727253615,0.04107655448737463
40,0.03449073406349741,0.02609347211096982,0.044829405995238186
41,0.03840082449877366,0.029976866415672324,0.04875522503267781
42,0.04231091493405065,0.03317318787837353,0.053088584870183586
43,0.046221005369326953,0.03610637711121943,0.05810330935993607
44,0.050131095804604044,0.03899016390862687,0.06351817688996654
45,0.05404118623988077,0.041789400765912435,0.06930725168467654
46,0.05849792706459122,0.046304773931151594,0.07279195165633673
47,0.06295466788930305,0.050195265593759406,0.0777149693494837
48,0.06741140871401455,0.05390111580725707,0.08287662994366374
49,0.07186814953872607,0.056496730688183255,0.08921380739346921
50,0.07632489036343755,0.059475297767994054,0.095707948348427
51,0.08136569343462723,0.06465330179860525,0.09928771207006563
52,0.08640649650581675,0.06924210121941429,0.10417572620536256
53,0.09144729957700497,0.07363128404971107,0.11026504980711122
54,0.09648810264819456,0.07741108678903666,0.11763900759146308
55,0.10152890571938415,0.08017940082986162,0.1254713004646288
56,0.10702700816038298,0.08688815015007047,0.1301318441003266
57,0.11252511060138273,0.0919303374126341,0.135033243943544
58,0.11802321304238375,0.09599438162761763,0.1421278928677568
59,0.12352131548338323,0.09903450929559084,0.14982295078853772
60,0.12901941792438343,0.10189628363816794,0.15816602563204582
61,0.13496404323862288,0.10925191631378847,0.16155574801742464
62,0.14090866855286271,0.1155928291413356,0.16828413649252924
63,0.14685329386710116,0.12171499366465002,0.17599019117894651
64,0.15279791918134092,0.12598169593042108,0.1843246373581327
65,0.1587425444955785,0.13005459461353894,0.1934848124763894
66,0.1649110416093155,0.13804102121944753,0.19632174834144206
67,0.17107953872305096,0.1449138833286196,0.20179423722571926
68,0.17724803583678725,0.14999923801143156,0.2098925924606723
69,0.1834165329505235,0.15374760616351368,0.2186027658269605
70,0.18958503006425814,0.1575494933840145,0.22858200498238856
71,0.19605814132376248,0.16550572246239967,0.235099878921345
72,0.20253125258326596,0.17143802694466137,0.24258351040215248
73,0.20900436384277016,0.17628404969254274,0.2515052056643224
74,0.21547747510227327,0.18014929670589153,0.25989425673427324
75,0.2219505863617781,0.18209657339649168,0.27183390556637754
76,0.22927538029637692,0.19053531051098604,0.27787459281288246
77,0.23660017423097007,0.1975468620297601,0.2891055931176256
78,0.24392496816556886,0.20261406960334083,0.2976495827640286
79,0.2512497621001666,0.206027573794261,0.3094311763926614
80,0.25857455603476764,0.20821298282490558,0.32302679400781237
81,0.2674434102588955,0.21986972821762046,0.33308920789140745
82,0.2763122644830201,0.22700229820848106,0.34476764835324725
83,0.2851811187071447,0.23354467735528825,0.36333529624957267
84,0.2940499729312732,0.23744742621438894,0.3793709187561888
85,0.30291882715539864,0.2412779570326506,0.3932424725834117
86,0.31449042709987485,0.24878865744348422,0.41392626946070793
87,0.3260620270443447,0.25649062152068725,0.43244375831760457
88,0.33763362698882476,0.26015653143916195,0.45480839299921927
89,0.34920522693329953,0.26503690462133817,0.48043589395299724
90,0.3607768268777698,0.2680481070245477,0.5054680327328908
91,0.37365943966242143,0.2774592913284797,0.520958676441623
92,0.38654205244707035,0.28627206331097127,0.535255136837314
93,0.39942466523171466,0.2933899608199852,0.5559862557555648
94,0.4123072780163634,0.29886940119060307,0.5820488159899246
95,0.4251898908010117,0.3022582735725816,0.6123653197890692
96,0.4384510626456171,0.31023077508704033,0.6335671998736341
97,0.45171223449022413,0.3145993796594039,0.6531374900299268
98,0.46497340633483153,0.32162603981242194,0.6738290397887757
99,0.478234578179433,0.3256845524039273,0.6959229290044159
100,0.49148695122641983,0.3301697033745609,0.7251039619040874
