age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,3.0454146390814607e-07,9.519128880764139e-15,1.4511313694296225e-06
41,0.0004914489517185754,0.0003657309812566965,0.000649737401964165
42,0.000982593361973242,0.0007305586222014794,0.0012994746634138986
43,0.0014737377722279128,0.0010955305457346772,0.001949211924863632
44,0.001964882182482588,0.0014605024692678752,0.002598857347203499
45,0.002456026592737233,0.001825474392801073,0.0032482934646428253
46,0.0026685071213996244,0.0020105143374139632,0.0034488015538937104
47,0.002880987650061949,0.002185867315001121,0.003726159000010253
48,0.0030934681787243446,0.00233631746804813,0.004024017313787566
49,0.003305948707386714,0.002480502549917816,0.0043453437267392
50,0.003518429236049051,0.0026159696060214736,0.004663819865274831
51,0.0038230392572487708,0.002887399887520571,0.005015718762957382
52,0.0041276492784484585,0.0031517611948063008,0.005411433246346272
53,0.004432259299648176,0.0033756137202446738,0.005802910767959986
54,0.004736869320847841,0.0035704088559566343,0.006292108578374762
55,0.005041479342047497,0.0037498473127541457,0.006741833157944605
56,0.005497966986932348,0.004176855484223444,0.007194310469514688
57,0.005954454631817255,0.004566445324321643,0.007731205251723432
58,0.006410942276702024,0.004912957707876251,0.008267957222615056
59,0.006867429921586875,0.0051645484017980876,0.0088644179428959
60,0.007323917566471639,0.005424484262291088,0.009559924614214564
61,0.008022077401339301,0.006137527255517314,0.010237277404937866
62,0.008720237236206817,0.006728054541773945,0.011160068906906392
63,0.00941839707107451,0.007263222245226498,0.012154014814580246
64,0.010116556905942039,0.0077373621672969135,0.0131550974628274
65,0.010814716740809823,0.008194343669413254,0.014194497449606283
66,0.01185115891893296,0.009171594251418998,0.015097708004270934
67,0.012887601097056313,0.00996314065568089,0.016335150055620685
68,0.013924043275179869,0.010734591559938065,0.017786114612261095
69,0.01496048545330313,0.011354843193337318,0.019263032679883364
70,0.015996927631426617,0.011981768609862171,0.02082572868064143
71,0.01753984838940148,0.013381832384970352,0.02223942307865994
72,0.01908276914737631,0.014675759128859146,0.023858594061987877
73,0.020625689905350884,0.015890817636992675,0.02592434319269663
74,0.022168610663325636,0.01684279949876766,0.028184815773679626
75,0.023711531421300596,0.017786551429495204,0.03046410996279945
76,0.025780469304230138,0.019881777700814778,0.03246231209536994
77,0.0278494071871597,0.0219008880995682,0.03496939892405343
78,0.029918345070089423,0.02358839862697844,0.037583422763613906
79,0.0319872829530189,0.025180095375402157,0.040795321530846196
80,0.03405622083594834,0.026332190219311713,0.04422238540762017
81,0.03626296156811316,0.02871600274326337,0.046189567905511444
82,0.03846970230027829,0.03048024366754725,0.048618469397760086
83,0.040676443032442645,0.03182254244671271,0.05194261777699538
84,0.04288318376460814,0.03304340564571643,0.055526729220950706
85,0.045089924496772654,0.034067100655779524,0.05939468761527535
86,0.04733874799545585,0.03601279357205867,0.06153602021129633
87,0.04958757149413855,0.03753453408992658,0.06500122150476272
88,0.05183639499282131,0.03842410297353403,0.0683491863227534
89,0.054085218491504064,0.039710946480395984,0.07186072352462673
90,0.056334041990186205,0.04056582673040205,0.07602019887901199
91,0.05853152031988788,0.04207082704523836,0.07843095287424338
92,0.060728998649590464,0.043046730290616106,0.08105506618412167
93,0.06292647697929198,0.044224889796102236,0.08498569349593699
94,0.06512395530899459,0.04506108782618451,0.08875470943756404
95,0.06732143363869642,0.045888531488845356,0.09384495680045529
96,0.06936815675935414,0.04744097842947123,0.09612481160300874
97,0.0714148798800122,0.04879098956652577,0.0991295051591486
98,0.07346160300067107,0.04962221974773575,0.10303915621134234
99,0.07550832612132796,0.05032051925316408,0.1075528420372973
100,0.0775550492419863,0.05102866520178786,0.11222244701518753
