age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,2.8698710264195894e-07,1.1933321104980533e-14,1.4486688898229437e-06
31,0.004784583736433469,0.004156328917431806,0.005335303494904799
32,0.009568880485764174,0.008312657834081876,0.010670332973478
33,0.014353177235095023,0.012468986750731945,0.0160053624520512
34,0.019137473984425866,0.016625315667382016,0.021340391930624404
35,0.023921770733756623,0.020781644584032085,0.026675421409197608
36,0.02582082912362101,0.02244266909007933,0.028738916285888136
37,0.02771988751348512,0.02408173972650334,0.030905888494318606
38,0.029618945903349146,0.02568085497146881,0.03303976851252914
39,0.031518004293213595,0.02732123559010615,0.035265314834838225
40,0.03341706268307814,0.028940983521907555,0.037472036044338346
41,0.03604075675859757,0.031205446382093688,0.040395654302188666
42,0.03866445083411799,0.03346910780344907,0.043408646907841596
43,0.04128814490963809,0.035688737155366954,0.046421845559908866
44,0.043911838985157964,0.03793267264116622,0.04949633189162072
45,0.04653553306067834,0.04008715599467709,0.05258422049766043
46,0.05014033623465381,0.04316536143244148,0.05656386794292995
47,0.05374513940862958,0.04629332527634059,0.06063334413894562
48,0.057349942582604944,0.04933262701477435,0.06474363353958837
49,0.06095474575658075,0.05238707914658937,0.06894285450412692
50,0.0645595489305563,0.05540755345758492,0.07314776941954286
51,0.06945259786287597,0.05973542313347549,0.078625449371927
52,0.07434564679519431,0.0640247769672451,0.08412835195887187
53,0.07923869572751442,0.06831372026861765,0.08961834213800911
54,0.08413174465983297,0.07251962574404454,0.09511559303734315
55,0.08902479359215337,0.07680837570142582,0.10060346282847292
56,0.09555970583187777,0.08232822078206152,0.10782188348683039
57,0.10209461807160418,0.08798107098094157,0.11496924444885079
58,0.10862953031132949,0.09373177358903093,0.12244027021984363
59,0.11516444255105499,0.09937376810148613,0.1298363580577816
60,0.12169935479078134,0.10495601172440165,0.13727690981053658
61,0.13026311357536094,0.11253275522075505,0.14673259444322487
62,0.13882687235993926,0.12010294928162202,0.15630920125843617
63,0.1473906311445196,0.12761161266542706,0.16589393309550032
64,0.15595438992909894,0.1352442808881015,0.17537264241593106
65,0.16451814871367995,0.1425951015500295,0.18497173619535015
66,0.17544371941508966,0.15240535997172047,0.1972080658570524
67,0.18636929011649844,0.1614582192114787,0.20932694376748567
68,0.19729486081791134,0.17138269545313053,0.22153007532404667
69,0.20822043151931946,0.18108398802337636,0.23409063706518618
70,0.21914600222072902,0.19039113091945561,0.24586116152955867
71,0.23249354374896405,0.20219755727016528,0.2607107118640198
72,0.2458410852772006,0.21400510780256282,0.27567772946966224
73,0.25918862680543464,0.22531286312903287,0.2899194640762258
74,0.27253616833366845,0.23719708987544497,0.30464394616024293
75,0.28588370986190265,0.24845744313578083,0.3195911003384187
76,0.30126228931259347,0.26212068661422544,0.3362965016967223
77,0.3166408687632807,0.27614097073921035,0.3536606943216306
78,0.33201944821396984,0.2896151658411558,0.3700572624440308
79,0.3473980276646586,0.30272887358931433,0.38664035177388895
80,0.3627766071153453,0.31626655262592135,0.4038132300839712
81,0.3792789144894671,0.33180215557369963,0.42191404970460167
82,0.39578122186358244,0.3465701974245646,0.44035801700068367
83,0.41228352923769923,0.3611744209686585,0.45907892422257573
84,0.4287858366118139,0.3761183126590647,0.4782345315807266
85,0.4452881439859289,0.3897901261241806,0.4964124522320843
86,0.4610398390939277,0.4045473958492808,0.5134947064197011
87,0.4767915342019281,0.41824247709108525,0.5324726717312334
88,0.4925432293099302,0.4309440996306214,0.5502711883354243
89,0.5082949244179201,0.44409111495285686,0.5684108856193812
90,0.524046619525932,0.45729857536592117,0.5859167735848027
91,0.5366839407392332,0.46812063870795756,0.600765890127906
92,0.5493212619525526,0.4789312879170442,0.6151695947776175
93,0.5619585831658707,0.4887691209421105,0.6296552822536414
94,0.5745959043791797,0.4987423750895943,0.6451660525647692
95,0.5872332255924912,0.509069221094202,0.6609752464014569
96,0.5943258710967482,0.5149272729013797,0.6678126616537686
97,0.6014185166009991,0.5205781708813997,0.6770437974848724
98,0.6085111621052618,0.5258075237165079,0.6860164647564153
99,0.6156038076095204,0.5312600667662007,0.6948183885706501
100,0.62269645311377,0.5367369050555882,0.7038991453800197
