age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.7962631211003094e-07,3.043575100244737e-16,1.451263971919231e-06
41,0.0002223121695720831,2.5746099602192766e-05,0.00042377885548665415
42,0.0004443447128320549,5.1490739102749425e-05,0.0008475547797025895
43,0.000666377256092024,7.723537860330608e-05,0.0012713307039185248
44,0.0008884097993519935,0.00010298001810386274,0.00169510662813446
45,0.001110442342611976,0.0001287246576044194,0.0021188825523503953
46,0.00126097344706465,0.0002898674618726696,0.0022138479379855682
47,0.0014115045515173277,0.0003530929985179861,0.0023551998684682007
48,0.0015620356559699767,0.0003842298373258284,0.00246224511405352
49,0.0017125667604226643,0.0004062700135886993,0.002589938078182422
50,0.0018630978648753477,0.0004445433078355997,0.002722018707489551
51,0.002010393487319949,0.0007996766917601121,0.0028873062928094
52,0.0021576891097645845,0.001114274519361416,0.0030851540171898417
53,0.0023049847322092324,0.0014174288794294256,0.0032404549544786877
54,0.0024522803546538595,0.0015821360604558563,0.0034361000558753773
55,0.0025995759770985004,0.0017006129302759236,0.0036610481722202178
56,0.002803643351386815,0.0018970161201896493,0.0038546975820828956
57,0.0030077107256751227,0.002067634779293955,0.00408106288797392
58,0.0032117780999634878,0.0022153742918384657,0.004356447942649821
59,0.003415845474251816,0.0023546964236174795,0.00469551210849622
60,0.003619912848540162,0.002470750540956726,0.005042653826549469
61,0.003981516185153996,0.002828928611960332,0.005439528888573455
62,0.004343119521767828,0.003111372502135461,0.005863891390619492
63,0.00470472285838166,0.003372892691831832,0.0063413144604413975
64,0.005066326194995546,0.0036198725750441756,0.006876301071573535
65,0.005427929531609358,0.0038713407878059425,0.007397300292218441
66,0.0060749254658930595,0.0044832689142445875,0.00816115687819353
67,0.006721921400176728,0.005024216267998843,0.008956159640015988
68,0.007368917334460404,0.005526595619359377,0.009854102059433796
69,0.008015913268744002,0.005983719938671622,0.01090578004782986
70,0.008662909203027674,0.006416743284839819,0.011843636145675946
71,0.009817985525297782,0.007449052371395018,0.012994056944634704
72,0.010973061847567776,0.00837827163103807,0.01430097185911778
73,0.012128138169837955,0.009259917896957355,0.015695413764092454
74,0.013283214492107885,0.010121708768719886,0.01737275546240602
75,0.014438290814377874,0.010954106892139224,0.019036082900699736
76,0.01635227902159667,0.012651663635438288,0.0210796765312413
77,0.01826626722881577,0.014144293530678165,0.023166729713586427
78,0.020180255436034626,0.015561828851459535,0.02566858153965379
79,0.02209424364325346,0.01684414275068817,0.02842498839051548
80,0.024008231850472055,0.018010154036359624,0.03132764638401066
81,0.026764680650135868,0.020408410299636567,0.03415600901182797
82,0.029521129449799243,0.022345835600478703,0.03766275332205987
83,0.03227757824946279,0.024227968971620082,0.04165896984580399
84,0.03503402704912628,0.025970587694179377,0.046038268477474345
85,0.03779047584879031,0.027296084398892535,0.05043209972442745
86,0.04063927915543154,0.029568361635767614,0.05404472100745778
87,0.043488082462072655,0.031511270157905086,0.05780111610669683
88,0.04633688576871449,0.03328414106227025,0.06209517732894507
89,0.049185689075356025,0.03511792634885459,0.0671905168389414
90,0.05203449238199764,0.03642190603874516,0.07235495587689625
91,0.0542820520931366,0.037538073477593366,0.07514987243375824
92,0.05652961180427626,0.03868863211548899,0.07826254363540014
93,0.05877717151541495,0.039735747657544056,0.08134806708991309
94,0.06102473122655527,0.04027618355065384,0.08579976204774703
95,0.06327229093769339,0.04096222954694618,0.09115204655326498
96,0.06514464300313688,0.04201230389885002,0.09361511120202635
97,0.0670169950685802,0.0431749114324914,0.0974500566193237
98,0.06888934713402216,0.04444378553987094,0.10083683166060851
99,0.070761699199465,0.04558936249687479,0.10428220717562327
100,0.07263405126490706,0.046635347241646107,0.10883880142910521
