age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,9.226523972347349e-07,3.3187758471274863e-07,1.401143206090216e-06
31,0.00024636847578398015,3.585612738363238e-05,0.0005248538173036465
32,0.0004931756380870416,7.098710272687075e-05,0.0010520239720310698
33,0.0007407869421523323,0.00010617785504821074,0.0015809073035853898
34,0.0009889404136612697,0.0001415973490732451,0.0021112741655259686
35,0.0012370447668579759,0.00017701530962119932,0.002640652437924659
36,0.0014843128175986416,0.00021224784648305597,0.0031676612674538833
37,0.0017308988283611646,0.0002474818704231035,0.003692935224057835
38,0.001977556127426795,0.000282803596622272,0.004212079937079315
39,0.002224427776573569,0.000318315450938909,0.004730741271497593
40,0.0024738617899574588,0.00035390992591684744,0.0052510432258926175
41,0.0026545357915164873,0.000637017626189277,0.005439064054518185
42,0.0028341253669808323,0.0008733714909822586,0.005645892391657866
43,0.003015017244716813,0.0010759516261353217,0.005868537564212388
44,0.0031958215559788846,0.0012615035010661592,0.006123501516790591
45,0.003378871205734451,0.0014324623497404343,0.00637312585904999
46,0.0035633242444483705,0.0015935562810643344,0.006626073216856543
47,0.0037481942424871894,0.0017293169936201769,0.006888186060171152
48,0.003932653643433133,0.0018599664802747481,0.007174433940689155
49,0.004115300810834881,0.001969794002282287,0.00746750025056828
50,0.004297961968075945,0.0020613887243136914,0.007753573831147824
51,0.0045837184924711364,0.0022958509906027304,0.00815290607397268
52,0.004867323460146673,0.002540313442142937,0.008581474430410043
53,0.005154522408536386,0.0027624709388257038,0.00902260508678061
54,0.00544260752547919,0.002965485045340736,0.009477260617530403
55,0.0057271905238608445,0.003142406747692996,0.00993069718899705
56,0.006028186876604066,0.0033315829511088484,0.010411607346850087
57,0.006315864205220981,0.0034893197440255984,0.01091966181159117
58,0.00660127164398278,0.003644567734631318,0.01141886733805843
59,0.006881528446607787,0.003789268649741228,0.011885966111337564
60,0.007164505804581594,0.003940175064704835,0.012379094259272158
61,0.007977689864097894,0.004481707537808825,0.013687142047692525
62,0.008790617055489693,0.004987297083729564,0.015046572093324247
63,0.009619444613653843,0.005478689397907515,0.01645635578980737
64,0.010454709987960824,0.005952423373293252,0.01788154784093159
65,0.011300858824177593,0.006425749183482812,0.01933320619627324
66,0.012141810785830882,0.006905409383148568,0.020736222239562337
67,0.01295312274049674,0.00735691841179455,0.022126709015584594
68,0.013769750715091497,0.007813467464159497,0.0235145928106175
69,0.01457845584680533,0.008274854402433763,0.024892258081659662
70,0.015396277649395374,0.008733937646486386,0.026286776862630586
71,0.01756418616141137,0.010233194038810027,0.029280728392455536
72,0.019674785877400073,0.011547427786205544,0.032548114717267755
73,0.021724496981374304,0.012924649549541641,0.03565563002466864
74,0.02383788144825356,0.014178811526441064,0.03919114548838444
75,0.025694344851880758,0.01512027426188432,0.042596998599952855
76,0.0277722744516948,0.016486228757550833,0.045744334032285526
77,0.029886776911841967,0.01780648163044066,0.04908843846046361
78,0.03205626819601991,0.01902183461431679,0.05276315992095567
79,0.034263050674077325,0.020087383872831602,0.05700957592497401
80,0.03626983811801947,0.021237085886640805,0.060367842288236856
81,0.03930804702409315,0.023348251379471552,0.06511153274788956
82,0.042267568042492716,0.02532127664540208,0.06995660208384458
83,0.04544867464453623,0.02733903083422747,0.0747844082219752
84,0.04855749175398455,0.029270635776051327,0.07987608377469718
85,0.05160851480745678,0.031161337030996484,0.08475100903904634
86,0.05459474096784393,0.03292112603940986,0.08948949756605687
87,0.05761244963223308,0.034613787642505466,0.09455173831459435
88,0.060982813666477655,0.03636267645264706,0.1001798594793532
89,0.06410548458148772,0.03803820447147641,0.10559646763698015
90,0.06737404392592702,0.039706010162972094,0.11146951125471642
91,0.0695174754924264,0.04121328511182317,0.11501945382367544
92,0.07168900709393021,0.04248191894605721,0.11866762192277051
93,0.07390138990232158,0.04380603863848102,0.12225450305708327
94,0.07616584026115848,0.04493960121033988,0.1264481995647243
95,0.07894771852968537,0.046200048118368725,0.13173821011947218
96,0.08100201753777682,0.04702103477788913,0.13598226261248272
97,0.08305622855572611,0.04772264062623954,0.14052118582340517
98,0.08511037102067152,0.048463571404167974,0.1452330376882151
99,0.08716443803524965,0.049082748816931254,0.1499280359789229
100,0.08921843524854008,0.04971084591381473,0.15481810213473704
