age,mean,lower_ci,upper_ci
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,2.9467811846818983e-07,4.594852797854794e-14,1.4951328896724403e-06
41,0.0007841638457837433,0.0004348066545401759,0.0011885914596912164
42,0.0015680330134490092,0.0008692778237287414,0.0023771828892194505
43,0.0023519021811142936,0.0013037489929173067,0.0035657743187476835
44,0.0031357713487795437,0.0017382201621058723,0.004754365748275918
45,0.003919640516444856,0.0021726913312944377,0.005942957177804151
46,0.0042854898773199285,0.0023863036001112213,0.0064296274794915335
47,0.004651339238195091,0.002626106210138914,0.007020737276434032
48,0.005017188599070194,0.0028647661466275846,0.007646002026184876
49,0.005383037959945352,0.003105706964535174,0.008260999755722302
50,0.005748887320820453,0.0032984013598523717,0.00887517208158502
51,0.006276663302749382,0.003558266424461505,0.009407847458706427
52,0.00680443928467827,0.00385776177272524,0.010292967069313548
53,0.007332215266607205,0.004149641309245319,0.011209816687406709
54,0.007859991248536119,0.004390146563611421,0.012135233474880153
55,0.008387767230464999,0.004691234061341737,0.01308176667678889
56,0.009169961308805695,0.005238885681809992,0.014097343157101242
57,0.009952155387146484,0.0057778120376955604,0.015129713870383492
58,0.010734349465487155,0.006233117229644608,0.016316547264436
59,0.011516543543827877,0.006684120463845013,0.0174608577747085
60,0.01229873762216866,0.007165857525797793,0.01864840697940181
61,0.013432676910454855,0.007727639102154182,0.02048460024310525
62,0.0145666161987411,0.008409428647318085,0.022365919731189357
63,0.015700555487027486,0.009040539108983697,0.024405456687719894
64,0.01683449477531368,0.00966354723360207,0.026339732387710542
65,0.017968434063600137,0.010221866812026944,0.028149329976570128
66,0.019550257723112176,0.011334327854124514,0.030125063064096704
67,0.021132081382624065,0.012449469391032916,0.03239105062728152
68,0.022713905042136166,0.013410172855748265,0.034855858082361774
69,0.024295728701648454,0.014370876320463615,0.0376740960852657
70,0.025877552361160253,0.01521629725862677,0.040591150125513134
71,0.028103312968837484,0.016744454569234,0.043592344395594035
72,0.030329073576514477,0.018044653667606676,0.04727062522043317
73,0.03255483418419147,0.018969315186415304,0.0507849665931054
74,0.03478059479186827,0.020023526844021942,0.05428556211346084
75,0.03700635539954595,0.02089129126368717,0.05806888547042047
76,0.039978822863862964,0.02307574050161372,0.06206689948405604
77,0.042951290328180625,0.02501087984441174,0.06612885741918886
78,0.04592375779249819,0.026676526305031825,0.07069322986718267
79,0.048896225256815584,0.028369682766212857,0.07501868443648822
80,0.051868692721133244,0.02988099075101436,0.08005171301265097
81,0.05563057587301359,0.032705007117103696,0.08524388334886135
82,0.059392459024894366,0.03516342757667053,0.09153718730162905
83,0.0631543421767752,0.037092408878363396,0.09732612355365017
84,0.06691622532865538,0.03921301380896359,0.1029250204723512
85,0.07067810848053535,0.040748905841156424,0.1091378202218662
86,0.07474674745531835,0.04334978200128847,0.11806059335812026
87,0.07881538643010153,0.04644865567498462,0.12731245512257777
88,0.08288402540488363,0.04895932110767886,0.13584608077516083
89,0.08695266437966605,0.051526316581314596,0.14356830518447106
90,0.09102130335444836,0.053155396932116766,0.15199835311947643
91,0.09502544205744358,0.05506097448515967,0.16062941776297898
92,0.09902958076043639,0.05685971124892458,0.16848268821990506
93,0.10303371946342996,0.058423424988388276,0.17643135762773463
94,0.10703785816642354,0.060370607791014747,0.18412423791796456
95,0.11104199686941649,0.06223476901036671,0.19438403967601559
96,0.11450791180504113,0.06396800543957715,0.20017871199302392
97,0.11797382674066458,0.06605395421441039,0.20824301792750294
98,0.12143974167628681,0.06661360085186868,0.21528495590626565
99,0.12490565661191166,0.06850920122254245,0.2221937078156481
100,0.12837157154753334,0.07021722489337805,0.2304809532514015
