age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,1.0773425347638219e-06,4.067244822614256e-07,1.6221227687514462e-06
31,Both,6.873261732620433e-05,2.1232087593027588e-05,0.00015269626976126933
32,Both,0.00013704432379409737,4.162093535292213e-05,0.00030571398755098515
33,Both,0.00020555778787200536,6.210141688337093e-05,0.0004590951224606524
34,Both,0.000274060164234799,8.261019403878891e-05,0.0006123397166325974
35,Both,0.0003420992989544206,0.00010291314720440503,0.0007647286482104012
36,Both,0.00040905814685471,0.0001228908857658045,0.0009145709650580409
37,Both,0.0004750027754325934,0.00014253562202612806,0.0010634853339593067
38,Both,0.0005402182991247309,0.00016208005716318344,0.0012100235679570713
39,Both,0.0006059782687172992,0.00018186951958844055,0.0013562770647618232
40,Both,0.0006732657107922436,0.00020204915797209644,0.0015069062903412236
41,Both,0.0008718425046383198,0.0004460405399002747,0.00163498414689969
42,Both,0.0010707260837379893,0.0006207841370411655,0.0017875964749605958
43,Both,0.0012700691193088779,0.0007253256006277932,0.0019665442064047507
44,Both,0.0014702388017700967,0.0008059335098521709,0.002173243400541389
45,Both,0.0016737526941069316,0.0008720868673493799,0.002408511977573477
46,Both,0.0018800358836873314,0.0009323149737059881,0.002672333357241716
47,Both,0.0020892623106972086,0.0009826401950837563,0.002955135816505353
48,Both,0.002297966182326578,0.001027337467622192,0.0032567813420390527
49,Both,0.0025033261413834815,0.0010715039456802489,0.00357134864760941
50,Both,0.002705976931708736,0.001107431430869563,0.0038845042821137802
51,Both,0.00297778544090944,0.0015334052552708568,0.004128556995386354
52,Both,0.0032504358694756897,0.0019423142092321625,0.0043822932007962796
53,Both,0.003525805786769124,0.002322822923436338,0.004661380575470794
54,Both,0.0038033218619175886,0.002686134529047262,0.004950451444670555
55,Both,0.004086801023027028,0.003019615426402902,0.0052626223658254435
56,Both,0.00434790473009767,0.003313923231930313,0.00555691386995519
57,Both,0.004612078644587248,0.0035685385611636043,0.005866309382689328
58,Both,0.004856680595345764,0.0037723957610841822,0.0061703088773969236
59,Both,0.005078806150584337,0.003940145258222098,0.006450530459223115
60,Both,0.005299862563646735,0.004083252828537194,0.00675957296385276
61,Both,0.006009817733283689,0.004769310683239373,0.007500519014248921
62,Both,0.0067420645770718815,0.0054240129381622135,0.008324498256687973
63,Both,0.007510778095027468,0.006079250470681941,0.009217664722682527
64,Both,0.008323066992197384,0.00674261577053318,0.010206644170425204
65,Both,0.009132576454863352,0.0073743703947170116,0.011238195944987138
66,Both,0.00992113017465837,0.00798351878476779,0.01225575541046642
67,Both,0.010683673059205251,0.008558119050789934,0.013249219085210314
68,Both,0.011394431387666637,0.00908676073486785,0.014188319972791156
69,Both,0.012073125996348778,0.009581330550489327,0.015094087490248684
70,Both,0.012793115016079996,0.0100950445828524,0.01606558514032957
71,Both,0.014695506028661048,0.011953411406212608,0.01803208902054692
72,Both,0.016880853958416007,0.01384619468689679,0.020539580018928784
73,Both,0.018600536774227124,0.01530844330935274,0.022494134638789392
74,Both,0.020684645941226758,0.016959088131671393,0.025086810070232567
75,Both,0.022952205849933776,0.01864735117252453,0.028055585038662595
