age,sex,mean,lower_ci,upper_ci
0,Both,0.0,0.0,0.0
1,Both,0.0,0.0,0.0
2,Both,0.0,0.0,0.0
3,Both,0.0,0.0,0.0
4,Both,0.0,0.0,0.0
5,Both,0.0,0.0,0.0
6,Both,0.0,0.0,0.0
7,Both,0.0,0.0,0.0
8,Both,0.0,0.0,0.0
9,Both,0.0,0.0,0.0
10,Both,0.0,0.0,0.0
11,Both,0.0,0.0,0.0
12,Both,0.0,0.0,0.0
13,Both,0.0,0.0,0.0
14,Both,0.0,0.0,0.0
15,Both,0.0,0.0,0.0
16,Both,0.0,0.0,0.0
17,Both,0.0,0.0,0.0
18,Both,0.0,0.0,0.0
19,Both,0.0,0.0,0.0
20,Both,0.0,0.0,0.0
21,Both,0.0,0.0,0.0
22,Both,0.0,0.0,0.0
23,Both,0.0,0.0,0.0
24,Both,0.0,0.0,0.0
25,Both,0.0,0.0,0.0
26,Both,0.0,0.0,0.0
27,Both,0.0,0.0,0.0
28,Both,0.0,0.0,0.0
29,Both,0.0,0.0,0.0
30,Both,3.094643264279578e-07,4.175656034953892e-14,1.5419721508998463e-06
31,Both,9.740058317663004e-05,1.8186798278297074e-05,0.00030500395218885525
32,Both,0.0001953923548006673,3.6385705799622446e-05,0.0006129074174316001
33,Both,0.0002938726545244901,5.459008042557629e-05,0.0009227265234934939
34,Both,0.00039252487457576885,7.280865996220722e-05,0.0012319937248369375
35,Both,0.0004909241599303636,9.092726361732371e-05,0.0015410249068895327
36,Both,0.0006070403499349,0.00014528655031966118,0.001653867416521804
37,Both,0.0007223676158785977,0.00016899971328384526,0.0018039905532871961
38,Both,0.0008370485152380325,0.00018646439750880724,0.0019831014730898044
39,Both,0.0009525035401240653,0.0002019344580655333,0.002232946561113801
40,Both,0.0010698512974190296,0.000216456731353235,0.0025347378701698134
41,Both,0.0013064704907280395,0.0005327159786475708,0.0026202398794851266
42,Both,0.0015441398687764474,0.0006961721436563658,0.002721004437394693
43,Both,0.0017825137118673829,0.0008042251786000935,0.0028358421471442095
44,Both,0.0020211785077021635,0.0008928968434990315,0.002992762858185142
45,Both,0.00226032612659309,0.0009706399223556542,0.0032557964003008706
46,Both,0.0024187908059922283,0.0013223960954270731,0.0033764942430449135
47,Both,0.0025775463576404845,0.0016301264405454866,0.003528637458868369
48,Both,0.002733958966068586,0.0018812786430492446,0.0037043924731323704
49,Both,0.0028893588519050247,0.0020783885990970936,0.0038945662045253215
50,Both,0.0030437165700461814,0.002204253390413637,0.004097944717138528
51,Both,0.003242157480962671,0.0024110987621257306,0.004284954234391986
52,Both,0.0034424378012925094,0.002591420504431308,0.004507268059575135
53,Both,0.0036450871454363964,0.002754353605187554,0.0047648213607204785
54,Both,0.00383503287382576,0.002888791243549528,0.005029509064515791
55,Both,0.004045555567231192,0.0030197405579715053,0.005344966917965455
56,Both,0.004356338536479232,0.0033295232085930773,0.0056533880498016754
57,Both,0.004683126275267779,0.0036057059821607415,0.006041768240853647
58,Both,0.004995898431525076,0.0038464255993695936,0.006451260216638592
59,Both,0.005304779947246242,0.004060994665286975,0.006911546796278508
60,Both,0.005614041695634651,0.004242994471636464,0.007382963214237798
61,Both,0.006172337361617954,0.004761054289097292,0.007961476151549235
62,Both,0.006747309488246394,0.005239810670286526,0.008631556561572969
63,Both,0.0073341542469958,0.005698908666892948,0.009431290778870434
64,Both,0.007945247756501834,0.006128468975936809,0.010253730899860676
65,Both,0.008550965018452568,0.006520432410756257,0.011121045849482477
66,Both,0.009523077121074653,0.0074065057012456005,0.012160832950363343
67,Both,0.010472488925806179,0.00818030059420408,0.013324197540588069
68,Both,0.011401164234531951,0.008848184690290379,0.014549919433334897
69,Both,0.012285543164480817,0.00942510580672577,0.01581601463329353
70,Both,0.013201902923508035,0.009999995256768217,0.017154112470453804
71,Both,0.014826011766022561,0.011504576316924336,0.018918860935488946
72,Both,0.01643622012266141,0.012870699397117753,0.020823255883318716
73,Both,0.01788062809157498,0.013954125930831325,0.022689155651082236
74,Both,0.01950012072769929,0.0150772420750812,0.024913288894118906
75,Both,0.021397073204791853,0.016340788530965874,0.027586740704953695
