age,sex,mean,lower_ci,upper_ci,lower_ci_p95,upper_ci_p95,lower_ci_p97_5,upper_ci_p97_5,lower_ci_p98_333,upper_ci_p98_333,lower_ci_p98_75,upper_ci_p98_75
0,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Both,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Both,3.197383816554944e-07,3.0043657237060277e-14,1.5473366308654761e-06,3.0043657237060277e-14,1.5473366308654761e-06,2.7810913094061098e-15,1.7553531724534435e-06,7.625674571338227e-16,1.8559360231967132e-06,3.588261629029659e-16,1.931975199169794e-06
41,Both,0.0003374483566072444,0.00012293349380372638,0.0005440908494439076,0.00012293349380372638,0.0005440908494439076,0.00010596963500272407,0.0005695039103835408,9.883802739289166e-05,0.000582299502082239,9.35949210461033e-05,0.0005934229849130714
42,Both,0.0006751281294364155,0.0002457933687595117,0.0010883815759381926,0.0002457933687595117,0.0010883815759381926,0.0002116207081890033,0.0011389025128811727,0.00019779123177802795,0.0011646606575100769,0.000186816447177,0.0011865831018431196
43,Both,0.0010133088618465946,0.00036858939618548774,0.001633277615163976,0.00036858939618548774,0.001633277615163976,0.0003174535338865595,0.0017077209529562252,0.00029671978866806014,0.0017478608123795835,0.00028018914190284323,0.0017785453317188543
44,Both,0.0013521906641822145,0.0004916738962137123,0.002179510498029224,0.0004916738962137123,0.002179510498029224,0.00042375644277446733,0.0022750126419200287,0.0003958914583699364,0.0023305076443756434,0.0003735065968109516,0.002374517632235817
45,Both,0.0016942411223792029,0.0006157616447757054,0.0027304164335287,0.0006157616447757054,0.0027304164335287,0.000531081607871027,0.00284670138109996,0.0004958695342327043,0.0029172649988246065,0.00046834764474388055,0.002973490637519643
46,Both,0.001899010751000257,0.0009926530453786822,0.0028648892736892542,0.0009926530453786822,0.0028648892736892542,0.0009305291176432631,0.002981306818590292,0.0009003477912421617,0.003047377692747286,0.0008837073671106887,0.0031009146377759373
47,Both,0.0021063561288127953,0.001326996577502334,0.003014628800610775,0.001326996577502334,0.003014628800610775,0.001261310012265809,0.003141280707107319,0.0012283742648787526,0.003219405705781099,0.0012059216679096369,0.003274175852301206
48,Both,0.0023131202903213938,0.001604286765879696,0.0031865303279890924,0.001604286765879696,0.0031865303279890924,0.001518583418963386,0.0033212808736274206,0.0014672865329633151,0.003410855273597561,0.0014283753432383054,0.0034699584292352246
49,Both,0.0025167641311284847,0.0018254120211969318,0.0033765652279212277,0.0018254120211969318,0.0033765652279212277,0.001706822087297038,0.003515533911389325,0.0016435822892438454,0.003618161242553596,0.0015758787191852155,0.003670249735713843
50,Both,0.0027177327744847854,0.0019800383240234217,0.0035942176274669007,0.0019800383240234217,0.0035942176274669007,0.0018578646236566633,0.003766942249986024,0.0017530395761558104,0.003854363580859912,0.0016839517339366265,0.003912969477443026
51,Both,0.0029228579674850244,0.0021830830816672916,0.003796691623904242,0.0021830830816672916,0.003796691623904242,0.0020768200269452464,0.003970360113257437,0.001996086823959451,0.004051595665301989,0.0019486332875927495,0.0041200671083145785
52,Both,0.0031286138400197453,0.002374947335132825,0.004039572275384525,0.002374947335132825,0.004039572275384525,0.002274347481238237,0.00421293892855961,0.0022147879821089542,0.004308703745099576,0.002175789155606334,0.004374872517303312
53,Both,0.0033359944958315504,0.002539848658786278,0.004301555416737676,0.002539848658786278,0.004301555416737676,0.0024428633333907998,0.004492020509372411,0.0023920047803897247,0.0045918868754173635,0.002359582207556918,0.004673312059413868
54,Both,0.0035452528610581064,0.002680446076203306,0.004600629837631864,0.002680446076203306,0.004600629837631864,0.002592627533524494,0.004810798868719007,0.0025397812662845735,0.004915883421278139,0.0025043556330358496,0.004999851062096119
55,Both,0.0037596361628036215,0.0028160517315951004,0.004927335983555655,0.0028160517315951004,0.004927335983555655,0.002716346455956261,0.005147513055011324,0.002661257112892177,0.0052712843014878245,0.002620371284420562,0.005343850587105714
56,Both,0.0040998840114532895,0.0031389127775014523,0.0052632459783129625,0.0031389127775014523,0.0052632459783129625,0.0030296430692934345,0.005475469787600202,0.0029792113734435815,0.005588414687546704,0.0029427183512284465,0.005666366522698993
57,Both,0.004444841436423564,0.0034304423039591947,0.005659597850298329,0.0034304423039591947,0.005659597850298329,0.003314364190328528,0.005874164315668774,0.003247930321721322,0.005998323408574717,0.0032091408384409214,0.006099386534123836
58,Both,0.004771595137485358,0.0036758401595008224,0.00605998027753572,0.0036758401595008224,0.00605998027753572,0.0035523217712392606,0.006311238056077204,0.0034818260903325734,0.006446602800253189,0.0034396337597421447,0.006525795727185768
59,Both,0.005077069206699273,0.003878418786180351,0.006491946281981063,0.003878418786180351,0.006491946281981063,0.0037385795227865134,0.006737919054877681,0.003668040652940584,0.0068886274721128475,0.003622153003793238,0.006977983928146843
60,Both,0.005379799263077533,0.004066784316520904,0.0069334515390990555,0.004066784316520904,0.0069334515390990555,0.003912329692208329,0.007204407590094193,0.0038294840547138053,0.0073490869138916415,0.003769966238210975,0.0074738936550896645
61,Both,0.005953564100638225,0.00462892276520915,0.0075008751130563635,0.00462892276520915,0.0075008751130563635,0.004469429948856124,0.007779324717191768,0.004377911217757918,0.00794793479340458,0.004315588118201198,0.008038197727055654
62,Both,0.006548579394016229,0.005140728879778005,0.008207234549859874,0.005140728879778005,0.008207234549859874,0.0049558055678583955,0.008468003257206301,0.004865650441319353,0.008653611388011883,0.004801691616274041,0.00874612704983878
63,Both,0.007173716677201003,0.005638287784882462,0.008991201081562658,0.005638287784882462,0.008991201081562658,0.0054271316158826174,0.009292654187756667,0.005321879254223255,0.009461104776881463,0.005263142449217987,0.00958413972324289
64,Both,0.007835420666371277,0.006120461170089911,0.009870198434678002,0.006120461170089911,0.009870198434678002,0.005883592668575224,0.010238321499435587,0.005778816851587396,0.010431282759114386,0.005707068423876158,0.010554408179668906
65,Both,0.008491516654400748,0.006555506198530327,0.010792815153793668,0.006555506198530327,0.010792815153793668,0.006324562151482375,0.01122813526555484,0.006184105709158142,0.011438328375097326,0.006097756181027332,0.01157853556211802
